test;itWork
10928;K-2
10486;B-2
10277;D-1
10424;А-5
10442;Н-5
10443;Н-5
10489;С-2
10521;-
10527;Е-1. Е-2
10550;А-5
10597;С-2
10660;Н-5
10680;Е-1
10723;E-3
10739;D-1
10740;Н-5
10798;F-4
10799;E-3
10831;А-5
10940;E-4
10989;E-3
10996;-                                                                                                                                                                                                                  n                                                                                                                                                                                       x  a
10656;-
10713;К-5
10755;E-3. Е-4
10865;Н-5
10994;-
10923;D-4
10927;D-4
10664;С-2
11005;С-2
11007;С-2
10863;К-5
10549;E-4
10551;E-4
10547;-
10562;D-3
10529;А-5
10176;Н-5
10178;-
10179;-
10393;E-2
10531;-
10624;-
10813;А-5
10490;F-4
10704;E-2
10705;Н-5
10706;E-3
10583;E-2
10719;D-3
10726;D-3
10727;E-3
10805;-
10939;D-2
;С-2
10440;E-3
10441;E-3
10640;F-4
10641;Е-1. F-4
10642;Н-5
33016;D-2
33220;D-4
79074;-
79147;D-3
31158;D-2
35011;D-2
10414;E-4. F-4
10415;E-4
10503;D-4
10760;А-5
10908;D-4
39146;С-2
02023;Е-1
02035;Е-1
02061;Е-1
02069;Е-1
02111;Е-1
16054;D-2
20070;Е-1
5774;А-2
10481;B-2
10486;B-2
83006;E-5. F-4
79278;-
20086;-
10528;Н-5
10941;E-2
10892;E-4
10928;K-2
10486;B-2
39147;B-2
11055;B-3
10656;B-3
10662;B-3
10439;A-4
33016;D-2
10990;D-4
39116;D-4
33220;D-4
10719;D-3
10712;D-3
10563;D-3
10859;D-3
10739;D-1
10906;D-2
10563;D-2
11035;A-5
11111;no-yet
